titre,entreprise,lieu,lien,query,location,date_scrape
Functional Analyst H/F,Consort Group,Travail hybride à 1050 Bruxelles Ixelles,https://be.indeed.com/rc/clk?jk=93cccc420ea49c80&bb=0i9HGqYeTO3NsK5WmascBLgc78Yh7bxtgxgqueMrUlh4a2vGSRiv-8b3UsQdeY56ki1iFdLQA5FpdsXoam0oZoQ_yGSErXM_Fbyugo9olkoedvI6mtM-RruicRs5vYHs&xkcb=SoCz67M3kXtMjlzCDZ0BbzkdCdPP&fccid=7fae83e39c149e0c&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Business Analyst,Infrabel,Anderlecht,https://be.indeed.com/rc/clk?jk=157ea2cfdb848b61&bb=0i9HGqYeTO3NsK5WmascBHPhdlhPiqv4YyPyLObqMudUnsxO0UjeMvKRzSCBbkjYPXCSOJuYwp3TnJEl766cLudIYd0XGy9VGajtWBMdhoJnB2OBG-M9x2OnHmN8_a7-&xkcb=SoAH67M3kXtMjlzCDZ0AbzkdCdPP&fccid=ddd0400dc6cb0b6c&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Business Analyst,Infrabel,Anderlecht,https://be.indeed.com/viewjob?jk=0f1e2d3c4b5a6978,data analyst,Bruxelles,2026-04-21 10:29
Data Analyst Confirmé (H/F),Extia,1160 Bruxelles Auderghem,https://be.indeed.com/rc/clk?jk=dafd6f64f3a9d598&bb=0i9HGqYeTO3NsK5WmascBF789J-0skiN7PuOsfyZly2PHrd6xlfpN9-M5FSSGqjAFOEYn0qQtPV4EN-9pIhAOx9A1Ms6ho7ShBog_HDrOLGbyM66rf5Mpq4PY0W8dPsH&xkcb=SoCJ67M3kXtMjlzCDZ0HbzkdCdPP&fccid=51f8790ad48982e0&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data Functional Analyst,Smals,Bruxelles,https://be.indeed.com/rc/clk?jk=d8d2808c99c05282&bb=0i9HGqYeTO3NsK5WmascBFOUdGZM3mgkR3qH2m_XKoshIVEOTrcXvxao5G25i8PIgNqWkg0OsZzVM6BdvVFniunyXdURAyJeSTI-tiqU-4MpksIqmXMGz0CWkdwiqwMCQTfdJME3PU8%3D&xkcb=SoA967M3kXtMjlzCDZ0GbzkdCdPP&fccid=06d3cbc8540df2a6&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Business Analyst H/F,Quanteam,Bruxelles,https://be.indeed.com/rc/clk?jk=932f3bbdb423916f&bb=0i9HGqYeTO3NsK5WmascBNWXOzVMNovNe1MlrewGrNnupwXNOBf0tnRgIqqCWz9Ob9Pc0VvwF3eB_AMgpakloI0-ewwSE1C_N43AneaM4URhy832XxtPO-bZrGDZ8Vrd&xkcb=SoCg67M3kXtMjlzCDZ0FbzkdCdPP&fccid=bf3fb669dcbf8d45&vjs=3,data analyst,Bruxelles,2026-04-21 10:29
Data-Analyste (m/f/x),Travaillerpour.be / Werkenvoor.be,Saint-Josse-ten-Noode,https://be.indeed.com/rc/clk?jk=dadba39bcfcbe3b8&bb=4i5g6YWk1FS0BFhdcIe6cB20ZjshGSCCv-Zl8UPay3tj_jZx7TBBlwaXFh2Ut0L9e7zjCMkSYnDFni5xQA2vnA15-jRHe6uQ-puJcwt_Dng3OhfVLvmFKKpFuESJ61PO&xkcb=SoAo67M3kXtMLYzNzJ0LbzkdCdPP&fccid=325d7c89ae6752fe&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Analyst - HQ Bruxelles,BNP Paribas Fortis,Bruxelles,https://be.indeed.com/rc/clk?jk=3c395bd0df4ebbb2&bb=4i5g6YWk1FS0BFhdcIe6cHQ6qNg1X9A-kZIGbcDQ4oBsjlqruVxBiLybrI6XZXoCMA3nmKVwCFwrsbEU6o5WUihzge7Z8LGhKefY8wiKIcWAC7DmAYqhaUIHnAfzwHhA&xkcb=SoCc67M3kXtMLYzNzJ0KbzkdCdPP&fccid=1392500f835bba92&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Analist (h/f/x),Fedasil HQ,1000 Bruxelles,https://be.indeed.com/rc/clk?jk=cc69992b491313de&bb=4i5g6YWk1FS0BFhdcIe6cB9bxrOu7UtHip2wgHHQSNa3r6aFCk3TJX9w_-Jd2FOI9dFcp79tP-8HpqvO-zLMRkuUeqsroRM3FtItoOmQWPJQ03HgpFG0YZGK6Biu80kY&xkcb=SoAB67M3kXtMLYzNzJ0JbzkdCdPP&fccid=6948a7bbab452a34&vjs=3,data analyst,Belgique,2026-04-21 10:29
Data Analyst (H/F),Extia,1160 Bruxelles Auderghem,https://be.indeed.com/rc/clk?jk=f8f457a06de03c5d&bb=4i5g6YWk1FS0BFhdcIe6cNLk-OwJopTO88YPrDtlu8timF4nXe2aVyMdCPOmk3U8RN8FVzuJrXQ5cFFEpGuYfoIsbCIwcK5K60rfcZ-QPtY9JJuo6iH7Jx_38Blz7WX8&xkcb=SoC167M3kXtMLYzNzJ0IbzkdCdPP&fccid=51f8790ad48982e0&vjs=3,data analyst,Belgique,2026-04-21 10:29
